date,value,geo,nace_r2,s_adj,unit,indic_bt,loaded_at
2013-11-01,78.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2013-12-01,86.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2014-01-01,72.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2014-02-01,69.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2014-03-01,78.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2014-04-01,78.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2014-05-01,76.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2014-06-01,75.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2014-07-01,75.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2014-08-01,74.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2014-09-01,73.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2014-10-01,78.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2014-11-01,78.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2014-12-01,89.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2015-01-01,73.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2015-02-01,71.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2015-03-01,80.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2015-04-01,80.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2015-05-01,81.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2015-06-01,77.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2015-07-01,80.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2015-08-01,77.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2015-09-01,77.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2015-10-01,81.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2015-11-01,83.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2015-12-01,95.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2016-01-01,76.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2016-02-01,74.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2016-03-01,82.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2016-04-01,82.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2016-05-01,81.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2016-06-01,79.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2016-07-01,81.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2016-08-01,78.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2016-09-01,78.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2016-10-01,84.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2016-11-01,85.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2016-12-01,98.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2017-01-01,79.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2017-02-01,77.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2017-03-01,87.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2017-04-01,87.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2017-05-01,86.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2017-06-01,84.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2017-07-01,85.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2017-08-01,81.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2017-09-01,84.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2017-10-01,86.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2017-11-01,90.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2017-12-01,101.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2018-01-01,81.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2018-02-01,79.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2018-03-01,88.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2018-04-01,92.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2018-05-01,89.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2018-06-01,87.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2018-07-01,88.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2018-08-01,84.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2018-09-01,85.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2018-10-01,90.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2018-11-01,94.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2018-12-01,101.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2019-01-01,85.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2019-02-01,83.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2019-03-01,92.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2019-04-01,93.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2019-05-01,91.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2019-06-01,91.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2019-07-01,91.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2019-08-01,88.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
